db-1  | 2025-07-28 17:21:13 294 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:21:24 295 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:21:34 296 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:21:44 297 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:21:54 298 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:22:04 299 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:22:14 300 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:22:24 301 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:22:34 302 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:22:44 303 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:22:54 304 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:23:04 305 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:23:14 306 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:23:24 307 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:23:35 308 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:23:45 309 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:23:55 310 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:24:05 311 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:24:15 312 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:24:25 313 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:24:35 314 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:24:45 315 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:24:55 316 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:25:05 317 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:25:15 318 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:25:25 319 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:25:35 320 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:25:45 321 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:25:56 322 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 17:26:06 323 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
